turn,total_drivers,min_speed,avg_speed,max_speed
392,98,0,1.6404494382022472,6
393,97,0,1.7840909090909092,7
394,98,0,1.8222222222222222,7
395,98,0,1.7954545454545454,8
396,96,0,1.5977011494252873,7
397,96,0,1.8068181818181819,7
398,98,0,1.8202247191011236,8
399,98,0,1.6022727272727273,7
400,97,0,1.6022727272727273,7
401,98,0,1.6136363636363635,8
402,97,0,1.7954545454545454,9
403,98,0,1.7222222222222223,9
404,98,0,1.5280898876404494,8
405,97,0,1.5227272727272727,9
406,98,0,1.5454545454545454,9
407,97,0,1.5393258426966292,8
408,97,0,1.5568181818181819,9
409,97,0,1.6704545454545454,8
410,97,0,1.5730337078651686,9
411,98,0,1.6629213483146068,9
412,97,0,1.6704545454545454,8
413,96,0,1.5172413793103448,8
414,96,0,1.6590909090909092,9
415,97,0,1.5795454545454546,10
416,96,0,1.6590909090909092,10
417,97,0,1.5977011494252873,9
418,95,0,1.3372093023255813,8
419,96,0,1.4886363636363635,9
420,97,0,1.5454545454545454,9
421,98,0,1.5730337078651686,9
422,97,0,1.5842696629213484,8
423,98,0,1.3888888888888888,9
424,99,0,1.511111111111111,10
425,99,0,1.3888888888888888,10
426,99,0,1.3111111111111111,8
427,99,0,1.5555555555555556,8
428,99,0,1.5494505494505495,9
429,101,0,1.5217391304347827,9
430,100,0,1.4725274725274726,9
431,99,0,1.550561797752809,10
432,99,0,1.3516483516483517,8
433,98,0,1.4333333333333333,9
434,99,0,1.3,9
435,99,0,1.4945054945054945,10
436,100,0,1.6703296703296704,10
